rank,keyword,channel,horizon,trend_score,predicted_delta,velocity_z,breakout,evidence,suggested_action
1,البنوك الرقمية الإمارات,geo,week,96.5,0.256,67803.362,True,,"BREAKOUT detected — act now while competition is low. Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
2,fintech uae,geo,week,45.0,0.379,0.128,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
3,ai in banking,geo,week,36.4,0.059,0.045,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
4,best ai bank in the world,geo,week,35.6,0.207,-0.0,True,2026-08-08: suggestion for 'best ai in banking' [AE/en] | 2026-08-09: suggestion for 'best ai in banking' [AE/en] | 2026-08-10: suggestion for 'best ai in banking' [AE/en],"BREAKOUT detected — act now while competition is low. Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
5,bnpl uae,geo,week,32.4,0.127,0.241,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
6,uses for ai in banking,geo,week,32.1,0.168,0.0,False,2026-08-08: suggestion for 'for ai in banking' [AE/en] | 2026-08-09: suggestion for 'for ai in banking' [AE/en] | 2026-08-10: suggestion for 'for ai in banking' [AE/en],"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
7,digital banks uae,geo,week,28.0,0.02,0.267,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
8,best ai banking app,geo,week,26.4,0.082,0.0,False,2026-08-08: suggestion for 'best ai in banking' [AE/en] | 2026-08-09: suggestion for 'best ai in banking' [AE/en] | 2026-08-10: suggestion for 'best ai in banking' [AE/en],"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
9,embedded finance mena,geo,week,26.2,0.139,0.164,True,,"BREAKOUT detected — act now while competition is low. Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
10,best ai banking,geo,week,25.1,0.056,0.0,False,2026-08-08: suggestion for 'best ai in banking' [AE/en] | 2026-08-09: suggestion for 'best ai in banking' [AE/en] | 2026-08-10: suggestion for 'best ai in banking' [AE/en],"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
11,open banking api uae,geo,week,22.1,-0.009,-0.0,False,2026-08-08: suggestion for 'open banking uae' [AE/ar] | 2026-08-09: suggestion for 'open banking uae' [AE/ar] | 2026-08-10: suggestion for 'open banking uae' [AE/ar],"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
