rank,keyword,channel,horizon,trend_score,predicted_delta,velocity_z,breakout,evidence,suggested_action
1,what is the minimum salary for a credit card in uae,seo,quarter,100.0,0.185,48069.268,True,,BREAKOUT detected — act now while competition is low. Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
2,adcb com,seo,quarter,99.8,0.139,5.702,False,2026-08-08: rising related query for 'adcb' in AE | 2026-08-09: rising related query for 'adcb' in AE | 2026-08-14: rising related query for 'adcb' in AE,Create/refresh a dedicated page targeting this query; interlink from related pages.
3,الدرهم الرقمي,seo,quarter,98.0,0.097,25133.434,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
4,embedded finance mena,seo,quarter,97.9,0.164,42510.641,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
5,البنوك الرقمية الإمارات,seo,quarter,97.4,0.14,36210.762,True,,"BREAKOUT detected — act now while competition is low. Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
6,حساب توفير الإمارات,seo,quarter,96.3,0.053,13617.268,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
7,how does islamic home finance work,seo,quarter,96.1,0.046,11946.138,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
8,adcb updates,seo,quarter,95.7,0.061,15707.988,True,2026-08-09: rising related query for 'adcb' in AE | 2026-08-08: rising related query for 'adcb' in AE | 2026-08-14: rising related query for 'adcb' in AE,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
9,أفضل بنك في الإمارات,seo,quarter,95.1,0.037,9685.482,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
10,evaluate adcb on fees and charges,seo,quarter,94.7,0.124,32270.088,True,2026-08-08: AI prompt (Google AI Mode) · topic: Fees and charges | 2026-08-08: AI prompt (ChatGPT) · topic: Fees and charges | 2026-08-08: AI prompt (Google Gemini) · topic: Fees and charges,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
11,adcb com update,seo,quarter,94.6,0.121,31244.765,False,2026-08-14: rising related query for 'adcb com' in AE | 2026-08-09: rising related query for 'adcb com' in AE | 2026-08-14: rising related query for 'adcb' in AE,Create/refresh a dedicated page targeting this query; interlink from related pages.
12,adcb com login,seo,quarter,94.3,0.108,27926.038,True,2026-08-09: rising related query for 'adcb com' in AE | 2026-08-08: suggestion for 'adcb com' [AE/ar] | 2026-08-09: suggestion for 'adcb com' [AE/ar],BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
13,adcb internet banking update,seo,quarter,94.2,0.102,26317.763,False,2026-08-08: rising related query for 'adcb' in AE | 2026-08-14: rising related query for 'adcb' in AE | 2026-08-09: rising related query for 'adcb' in AE,Create/refresh a dedicated page targeting this query; interlink from related pages.
14,evaluate adcb on accounts,seo,quarter,94.0,0.094,24388.74,True,2026-08-08: AI prompt (Google Gemini) · topic: Accounts | 2026-08-08: AI prompt (ChatGPT) · topic: Accounts | 2026-08-08: AI prompt (Google AI Overviews) · topic: Accounts,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
15,adcb issue today,seo,quarter,93.9,0.087,22500.693,False,2026-08-08: rising related query for 'adcb' in AE | 2026-08-14: rising related query for 'adcb' in AE | 2026-08-13: suggestion for 'adcb issue' [AE/en],Create/refresh a dedicated page targeting this query; interlink from related pages.
16,evaluate adcb on eligibility and documentation,seo,quarter,93.6,0.075,19362.053,True,2026-08-08: AI prompt (Google AI Mode) · topic: Eligibility and documentation | 2026-08-08: AI prompt (ChatGPT) · topic: Eligibility and documentation | 2026-08-08: AI prompt (Perplexity) · topic: Eligibility and documentation,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
17,كيف أحول أموال من الإمارات إلى الهند,seo,quarter,93.2,0.057,14723.412,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
18,digital banks uae,seo,quarter,92.0,0.84,0.752,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
19,remittance uae to india,seo,quarter,89.7,0.988,0.537,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
20,islamic banking uae,seo,quarter,89.3,0.621,0.519,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
