rank,keyword,channel,horizon,trend_score,predicted_delta,velocity_z,breakout,evidence,suggested_action
1,البنوك الرقمية الإمارات,geo,quarter,98.6,0.262,67803.362,True,,"BREAKOUT detected — act now while competition is low. Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
2,digital banks uae,geo,quarter,77.6,0.552,0.267,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
3,bnpl uae,geo,quarter,75.0,0.449,0.241,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
4,fintech uae,geo,quarter,69.4,0.185,0.128,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
5,embedded finance mena,geo,quarter,65.7,0.181,0.164,True,,"BREAKOUT detected — act now while competition is low. Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
6,best ai bank in the world,geo,quarter,64.6,-0.0,-0.0,True,2026-08-08: suggestion for 'best ai in banking' [AE/en] | 2026-08-09: suggestion for 'best ai in banking' [AE/en] | 2026-08-10: suggestion for 'best ai in banking' [AE/en],"BREAKOUT detected — act now while competition is low. Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
7,uses for ai in banking,geo,quarter,63.8,0.0,0.0,False,2026-08-08: suggestion for 'for ai in banking' [AE/en] | 2026-08-09: suggestion for 'for ai in banking' [AE/en] | 2026-08-10: suggestion for 'for ai in banking' [AE/en],"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
8,best ai banking,geo,quarter,63.0,0.0,0.0,False,2026-08-08: suggestion for 'best ai in banking' [AE/en] | 2026-08-09: suggestion for 'best ai in banking' [AE/en] | 2026-08-10: suggestion for 'best ai in banking' [AE/en],"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
9,open banking api uae,geo,quarter,63.0,-0.0,-0.0,False,2026-08-08: suggestion for 'open banking uae' [AE/ar] | 2026-08-09: suggestion for 'open banking uae' [AE/ar] | 2026-08-10: suggestion for 'open banking uae' [AE/ar],"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
10,best ai banking app,geo,quarter,63.0,0.0,0.0,False,2026-08-08: suggestion for 'best ai in banking' [AE/en] | 2026-08-09: suggestion for 'best ai in banking' [AE/en] | 2026-08-10: suggestion for 'best ai in banking' [AE/en],"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
