rank,keyword,channel,horizon,trend_score,predicted_delta,velocity_z,breakout,evidence,suggested_action
1,البنوك الرقمية الإمارات,seo,month,100.0,0.111,5319.245,True,,"BREAKOUT detected — act now while competition is low. Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
2,adcb issue today,seo,month,99.5,0.096,1060.982,True,2026-08-08: rising related query for 'adcb' in AE | 2026-08-09: suggestion for 'adcb issue' [AE/en] | 2026-08-10: suggestion for 'adcb issue' [AE/en],BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
3,evaluate adcb on accounts,seo,month,99.1,0.083,5212.86,True,2026-08-08: AI prompt (Google Gemini) · topic: Accounts | 2026-08-08: AI prompt (ChatGPT) · topic: Accounts | 2026-08-08: AI prompt (Google AI Overviews) · topic: Accounts,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
4,evaluate adcb on current and savings,seo,month,99.0,0.081,4964.629,True,2026-08-08: AI prompt (Google AI Overviews) · topic: current and savings | 2026-08-08: AI prompt (Google Gemini) · topic: current and savings | 2026-08-08: AI prompt (ChatGPT) · topic: current and savings,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
5,evaluate adcb on fees and charges,seo,month,98.9,0.077,9929.258,True,2026-08-08: AI prompt (Google AI Mode) · topic: Fees and charges | 2026-08-08: AI prompt (ChatGPT) · topic: Fees and charges | 2026-08-08: AI prompt (Google Gemini) · topic: Fees and charges,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
6,التمويل العقاري الإمارات,seo,month,98.5,0.063,4964.629,True,,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
7,evaluate adcb on eligibility and documentation,seo,month,98.1,0.053,5957.555,True,2026-08-08: AI prompt (Google AI Mode) · topic: Eligibility and documentation | 2026-08-08: AI prompt (ChatGPT) · topic: Eligibility and documentation | 2026-08-08: AI prompt (Perplexity) · topic: Eligibility and documentation,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
8,bnpl uae,seo,month,76.0,-0.416,2.514,True,,"BREAKOUT detected — act now while competition is low. Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
9,adcb bank near me,seo,month,60.4,-0.035,0.517,False,2026-08-08: rising related query for 'adcb' in OM | 2026-08-08: suggestion for 'adcb bank' [AE/en] | 2026-08-09: suggestion for 'adcb bank' [AE/en],Create/refresh a dedicated page targeting this query; interlink from related pages.
10,islamic banking uae,seo,month,59.9,0.167,0.006,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
11,open banking uae,seo,month,58.9,-0.15,0.581,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
12,digital banks uae,seo,month,58.7,0.176,0.201,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
13,how to open a bank account in uae,seo,month,57.1,-0.109,0.39,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
14,credit card uae,seo,month,57.1,0.103,0.111,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
15,what is an iban number,seo,month,56.8,-0.118,0.605,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
16,remittance uae to india,seo,month,55.6,0.374,-0.241,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
17,ai in banking,seo,month,55.2,-0.281,0.831,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
18,adcb,seo,month,55.0,-0.132,0.093,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
19,evaluate adcb on digital banking and app,seo,month,54.7,-0.136,0.658,False,2026-08-08: AI prompt (Google Gemini) · topic: Digital banking and app | 2026-08-08: AI prompt (Google AI Mode) · topic: Digital banking and app | 2026-08-09: AI prompt (Google Gemini) · topic: Digital banking and app,Create/refresh a dedicated page targeting this query; interlink from related pages.
20,best savings account uae,seo,month,52.6,0.411,-0.855,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
