rank,keyword,channel,horizon,trend_score,predicted_delta,velocity_z,breakout,evidence,suggested_action
1,adcb com,seo,week,100.0,0.187,6.853,False,2026-08-08: rising related query for 'adcb' in AE | 2026-08-09: rising related query for 'adcb' in AE,Create/refresh a dedicated page targeting this query; interlink from related pages.
2,البنوك الرقمية الإمارات,seo,week,96.5,0.256,67803.362,True,,"BREAKOUT detected — act now while competition is low. Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
3,adcb updates,seo,week,94.6,0.215,44193.885,True,2026-08-09: rising related query for 'adcb' in AE | 2026-08-08: rising related query for 'adcb' in AE,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
4,أفضل بنك في الإمارات,seo,week,93.2,0.185,15396.806,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
5,what is the minimum salary for a credit card in uae,seo,week,89.0,0.059,57953.735,True,,BREAKOUT detected — act now while competition is low. Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
6,adcb issue today,seo,week,88.4,0.153,22545.857,True,2026-08-08: rising related query for 'adcb' in AE | 2026-08-13: suggestion for 'adcb issue' [AE/en] | 2026-08-09: suggestion for 'adcb issue' [AE/en],BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
7,ما هو الحد الأدنى للراتب للحصول على قرض شخصي,seo,week,87.8,0.07,33824.117,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
8,التمويل العقاري الإمارات,seo,week,87.1,0.019,30000.211,True,,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
9,حساب توفير الإمارات,seo,week,87.1,-0.017,30565.889,True,,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
10,how does islamic home finance work,seo,week,85.8,0.026,12261.438,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
11,adcb customer data integrity,seo,week,84.9,0.079,35808.366,True,2026-08-08: rising related query for 'adcb' in AE | 2026-08-09: rising related query for 'adcb' in AE,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
12,adcb internet banking update,seo,week,84.9,0.079,37138.08,True,2026-08-08: rising related query for 'adcb' in AE | 2026-08-09: rising related query for 'adcb' in AE,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
13,evaluate adcb on accounts,seo,week,84.4,0.07,30625.555,True,2026-08-08: AI prompt (Google Gemini) · topic: Accounts | 2026-08-08: AI prompt (ChatGPT) · topic: Accounts | 2026-08-08: AI prompt (Google AI Overviews) · topic: Accounts,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
14,adcb banking issues,seo,week,83.0,0.039,22087.419,True,2026-08-08: rising related query for 'adcb' in AE | 2026-08-09: rising related query for 'adcb' in AE | 2026-08-13: suggestion for 'adcb issue' [AE/ar],BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
15,فتح حساب بنكي في الإمارات,seo,week,82.9,-0.071,6999.492,True,,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
16,evaluate adcb on fees and charges,seo,week,82.4,0.025,27305.459,True,2026-08-08: AI prompt (Google AI Mode) · topic: Fees and charges | 2026-08-08: AI prompt (ChatGPT) · topic: Fees and charges | 2026-08-08: AI prompt (Google Gemini) · topic: Fees and charges,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
17,evaluate adcb on eligibility and documentation,seo,week,82.3,0.024,16383.275,True,2026-08-08: AI prompt (Google AI Mode) · topic: Eligibility and documentation | 2026-08-08: AI prompt (ChatGPT) · topic: Eligibility and documentation | 2026-08-08: AI prompt (Perplexity) · topic: Eligibility and documentation,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
18,evaluate adcb on current and savings,seo,week,82.2,0.022,32802.345,True,2026-08-08: AI prompt (Google AI Overviews) · topic: current and savings | 2026-08-08: AI prompt (Google Gemini) · topic: current and savings | 2026-08-08: AI prompt (ChatGPT) · topic: current and savings,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
19,adcb bank issue,seo,week,58.1,0.231,1.411,False,2026-08-09: rising related query for 'adcb bank' in AE | 2026-08-08: rising related query for 'adcb bank' in AE | 2026-08-09: rising related query for 'adcb' in AE,Create/refresh a dedicated page targeting this query; interlink from related pages.
20,adcb,seo,week,54.0,0.55,-0.113,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
