rank,keyword,channel,horizon,trend_score,predicted_delta,velocity_z,breakout,evidence,suggested_action
1,wealth management uae,seo,quarter,100.0,1.688,0.841,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
2,evaluate adcb on fees and charges,seo,quarter,86.2,0.057,14893.887,True,2026-08-08: AI prompt (Google AI Mode) · topic: Fees and charges | 2026-08-08: AI prompt (ChatGPT) · topic: Fees and charges | 2026-08-08: AI prompt (Google Gemini) · topic: Fees and charges,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
3,adcb internet banking update,seo,quarter,86.1,0.048,12502.28,True,2026-08-08: rising related query for 'adcb' in AE | 2026-08-09: rising related query for 'adcb' in AE,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
4,evaluate adcb on current and savings,seo,quarter,85.9,0.042,10976.284,True,2026-08-08: AI prompt (Google AI Overviews) · topic: current and savings | 2026-08-08: AI prompt (Google Gemini) · topic: current and savings | 2026-08-08: AI prompt (ChatGPT) · topic: current and savings,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
5,evaluate adcb on accounts,seo,quarter,85.9,0.042,10798.068,True,2026-08-08: AI prompt (Google Gemini) · topic: Accounts | 2026-08-08: AI prompt (ChatGPT) · topic: Accounts | 2026-08-08: AI prompt (Google AI Overviews) · topic: Accounts,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
6,evaluate adcb on eligibility and documentation,seo,quarter,85.8,0.034,8936.332,True,2026-08-08: AI prompt (Google AI Mode) · topic: Eligibility and documentation | 2026-08-08: AI prompt (ChatGPT) · topic: Eligibility and documentation | 2026-08-08: AI prompt (Perplexity) · topic: Eligibility and documentation,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
7,التمويل العقاري الإمارات,seo,quarter,85.7,0.029,7446.943,True,,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
8,adcb issue today,seo,quarter,85.5,0.02,5304.908,True,2026-08-08: rising related query for 'adcb' in AE | 2026-08-09: suggestion for 'adcb issue' [AE/en] | 2026-08-10: suggestion for 'adcb issue' [AE/en],BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
9,adcb banking issues,seo,quarter,85.4,0.016,4207.127,True,2026-08-08: rising related query for 'adcb' in AE | 2026-08-09: rising related query for 'adcb' in AE,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
10,how does islamic home finance work,seo,quarter,85.2,0.007,1844.005,True,,BREAKOUT detected — act now while competition is low. Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
11,bnpl uae,seo,quarter,83.3,0.888,0.974,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
12,evaluate adcb on digital banking and app,seo,quarter,75.4,0.631,0.69,False,2026-08-08: AI prompt (Google Gemini) · topic: Digital banking and app | 2026-08-08: AI prompt (Google AI Mode) · topic: Digital banking and app | 2026-08-09: AI prompt (Google Gemini) · topic: Digital banking and app,Create/refresh a dedicated page targeting this query; interlink from related pages.
13,adcb login procash,seo,quarter,67.5,0.517,0.189,False,2026-08-11: suggestion for 'adcb login' [AE/ar] | 2026-08-10: suggestion for 'adcb login' [AE/en],Create/refresh a dedicated page targeting this query; interlink from related pages.
14,remittance uae to india,seo,quarter,67.2,0.607,-0.024,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
15,islamic banking uae,seo,quarter,66.6,0.342,0.097,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
16,adcb lulu credit card,seo,quarter,64.6,0.371,0.189,False,2026-08-11: suggestion for 'adcb' [AE/ar],Create/refresh a dedicated page targeting this query; interlink from related pages.
17,how to open a bank account in uae,seo,quarter,64.0,0.082,0.347,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
18,fixed deposit uae,seo,quarter,63.0,-0.095,0.392,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
19,credit card uae,seo,quarter,59.7,-0.135,0.488,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
20,digital banks uae,seo,quarter,58.6,0.124,-0.061,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
