rank,keyword,channel,horizon,trend_score,predicted_delta,velocity_z,breakout,evidence,suggested_action
1,fixed deposit uae,seo,quarter,100.0,2.149,1.332,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
2,car loan uae,seo,quarter,85.3,1.522,1.149,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
3,personal loan uae,seo,quarter,81.1,1.751,0.683,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
4,adcb bank near me,seo,quarter,66.0,0.283,1.93,False,2026-08-08: rising related query for 'adcb' in OM | 2026-08-08: suggestion for 'adcb bank' [AE/en],Create/refresh a dedicated page targeting this query; interlink from related pages.
5,what is an iban number,seo,quarter,53.2,0.556,0.432,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
6,credit card uae,seo,quarter,52.3,0.589,0.057,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
7,fintech uae,seo,quarter,50.3,0.513,0.291,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
8,adcb,seo,quarter,46.9,0.016,0.29,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
9,wealth management uae,seo,quarter,46.1,-0.117,0.9,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
10,islamic banking uae,seo,quarter,45.2,0.008,0.346,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
11,how to open a bank account in uae,seo,quarter,43.5,-0.103,0.395,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
12,how to check credit score in uae,seo,quarter,42.7,0.066,0.12,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
13,business bank account uae,seo,quarter,39.9,-0.107,0.03,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
14,قرض شخصي الإمارات,seo,quarter,38.5,0.276,-0.448,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
15,قرض سيارة الإمارات,seo,quarter,37.7,0.237,-0.458,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
16,remittance uae to india,seo,quarter,37.5,0.187,-0.306,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
17,best savings bank uae,seo,quarter,36.8,0.0,0.0,False,2026-08-08: suggestion for 'best savings account uae' [AE/en],Create/refresh a dedicated page targeting this query; interlink from related pages.
18,adcb bank near me branch,seo,quarter,36.8,0.0,0.0,False,2026-08-08: suggestion for 'adcb bank near me' [AE/en],Create/refresh a dedicated page targeting this query; interlink from related pages.
19,adcb bank swift code,seo,quarter,36.8,0.0,0.0,False,2026-08-08: suggestion for 'adcb bank' [AE/en],Create/refresh a dedicated page targeting this query; interlink from related pages.
20,adcb com updates online banking login,seo,quarter,36.8,0.0,0.0,False,2026-08-08: suggestion for 'adcb com updates' [AE/en],Create/refresh a dedicated page targeting this query; interlink from related pages.
