rank,keyword,channel,horizon,trend_score,predicted_delta,velocity_z,breakout,evidence,suggested_action
1,what is the minimum salary for a credit card in uae,seo,week,100.0,0.216,48069.268,True,,BREAKOUT detected — act now while competition is low. Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
2,adcb updates,seo,week,99.0,0.255,15707.988,True,2026-08-09: rising related query for 'adcb' in AE | 2026-08-08: rising related query for 'adcb' in AE | 2026-08-14: rising related query for 'adcb' in AE,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
3,البنوك الرقمية الإمارات,seo,week,98.8,0.247,36210.762,True,,"BREAKOUT detected — act now while competition is low. Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
4,adcb com,seo,week,97.0,0.082,5.702,False,2026-08-08: rising related query for 'adcb' in AE | 2026-08-09: rising related query for 'adcb' in AE | 2026-08-14: rising related query for 'adcb' in AE,Create/refresh a dedicated page targeting this query; interlink from related pages.
5,embedded finance mena,seo,week,96.9,0.189,42510.641,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
6,حساب توفير الإمارات,seo,week,94.9,0.088,13617.268,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
7,الدرهم الرقمي,seo,week,94.8,0.049,25133.434,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
8,أفضل بنك في الإمارات,seo,week,92.9,0.058,9685.482,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
9,how does islamic home finance work,seo,week,92.2,-0.001,11946.138,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
10,adcb com login,seo,week,91.4,0.118,27926.038,True,2026-08-09: rising related query for 'adcb com' in AE | 2026-08-08: suggestion for 'adcb com' [AE/ar] | 2026-08-09: suggestion for 'adcb com' [AE/ar],BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
11,adcb issue today,seo,week,91.1,0.107,22500.693,False,2026-08-08: rising related query for 'adcb' in AE | 2026-08-14: rising related query for 'adcb' in AE | 2026-08-13: suggestion for 'adcb issue' [AE/en],Create/refresh a dedicated page targeting this query; interlink from related pages.
12,adcb com update,seo,week,91.1,0.107,31244.765,False,2026-08-14: rising related query for 'adcb com' in AE | 2026-08-09: rising related query for 'adcb com' in AE | 2026-08-14: rising related query for 'adcb' in AE,Create/refresh a dedicated page targeting this query; interlink from related pages.
13,adcb internet banking update,seo,week,88.8,0.032,26317.763,False,2026-08-08: rising related query for 'adcb' in AE | 2026-08-14: rising related query for 'adcb' in AE | 2026-08-09: rising related query for 'adcb' in AE,Create/refresh a dedicated page targeting this query; interlink from related pages.
14,evaluate adcb on eligibility and documentation,seo,week,88.1,0.011,19362.053,True,2026-08-08: AI prompt (Google AI Mode) · topic: Eligibility and documentation | 2026-08-08: AI prompt (ChatGPT) · topic: Eligibility and documentation | 2026-08-08: AI prompt (Perplexity) · topic: Eligibility and documentation,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
15,evaluate adcb on fees and charges,seo,week,87.9,0.006,32270.088,True,2026-08-08: AI prompt (Google AI Mode) · topic: Fees and charges | 2026-08-08: AI prompt (ChatGPT) · topic: Fees and charges | 2026-08-08: AI prompt (Google Gemini) · topic: Fees and charges,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
16,كيف أحول أموال من الإمارات إلى الهند,seo,week,87.9,0.003,14723.412,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
17,evaluate adcb on accounts,seo,week,87.7,-0.002,24388.74,True,2026-08-08: AI prompt (Google Gemini) · topic: Accounts | 2026-08-08: AI prompt (ChatGPT) · topic: Accounts | 2026-08-08: AI prompt (Google AI Overviews) · topic: Accounts,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
18,adcb,seo,week,77.7,0.472,0.194,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
19,islamic banking uae,seo,week,75.3,0.338,0.519,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
20,fintech uae,seo,week,71.5,0.445,0.134,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
