rank,keyword,channel,horizon,trend_score,predicted_delta,velocity_z,breakout,evidence,suggested_action
1,flux1 schnell,seo,month,100.0,-0.207,243059.867,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
2,gpt oss 120b,seo,month,98.1,-0.244,243059.867,False,2026-08-08: trending model: https://huggingface.co/openai/gpt-oss-120b,Create/refresh a dedicated page targeting this query; interlink from related pages.
3,adcb bank near me,seo,month,84.1,-0.241,2.017,False,2026-08-08: rising related query for 'adcb' in OM | 2026-08-08: suggestion for 'adcb bank' [AE/en],Create/refresh a dedicated page targeting this query; interlink from related pages.
4,open banking uae,seo,month,70.3,-0.273,1.543,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
5,wealth management uae,seo,month,64.2,0.036,0.9,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
6,islamic banking uae,seo,month,58.7,0.097,0.346,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
7,kimi ai,seo,month,56.8,-0.249,1.107,False,2026-08-08: rising related query for 'kimi k3' in AE,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
8,digital banks uae,seo,month,52.7,0.013,0.496,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
9,grok,seo,month,52.1,0.237,0.168,False,2026-08-08: rising related query for 'kimi k3' in AE,Create/refresh a dedicated page targeting this query; interlink from related pages.
10,adcb,seo,month,49.3,-0.005,0.115,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
11,what is an iban number,seo,month,45.7,-0.02,0.432,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
12,credit card uae,seo,month,45.5,0.056,0.057,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
13,fixed deposit uae,seo,month,44.6,-0.848,1.332,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
14,claude,seo,month,43.6,0.069,0.102,False,2026-08-08: rising related query for 'kimi k3' in OM,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
15,how to send money from uae to india,seo,month,43.0,-0.365,1.017,False,2026-08-08: question suggestion for 'how to remittance uae to india' [AE/en],Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
16,car loan uae,seo,month,40.7,-0.797,1.149,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
17,kimi k3 ai,seo,month,40.2,0.159,-0.0,False,2026-08-08: rising related query for 'kimi k3' in OM | 2026-08-08: rising related query for 'kimi k3' in AE,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
18,remittance uae to india,seo,month,38.8,0.286,-0.306,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
19,personal loan uae,seo,month,37.9,-0.402,0.678,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
20,adcb com,seo,month,37.1,0.005,0.189,False,2026-08-08: rising related query for 'adcb' in AE,Create/refresh a dedicated page targeting this query; interlink from related pages.
