rank,keyword,channel,horizon,trend_score,predicted_delta,velocity_z,breakout,evidence,suggested_action
1,الدرهم الرقمي,geo,month,100.0,0.049,25133.434,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
2,البنوك الرقمية الإمارات,geo,month,99.9,0.117,36210.762,True,,"BREAKOUT detected — act now while competition is low. Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
3,embedded finance mena,geo,month,97.6,0.044,42510.641,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
4,digital banks uae,geo,month,63.2,-0.09,0.752,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
5,fintech uae,geo,month,57.9,-0.126,0.134,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
6,open banking uae,geo,month,57.8,-0.199,-0.222,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
7,bnpl uae,geo,month,56.8,0.029,0.259,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
8,ai in banking,geo,month,56.6,-0.21,0.012,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
9,best ai banking app,geo,month,52.1,-0.06,-0.0,False,2026-08-08: suggestion for 'best ai in banking' [AE/en] | 2026-08-09: suggestion for 'best ai in banking' [AE/en] | 2026-08-10: suggestion for 'best ai in banking' [AE/en],"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
10,best fintech in uae,geo,month,52.1,0.083,-0.0,True,2026-08-08: suggestion for 'best fintech uae' [AE/en] | 2026-08-09: suggestion for 'best fintech uae' [AE/en] | 2026-08-10: suggestion for 'best fintech uae' [AE/en],"BREAKOUT detected — act now while competition is low. Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
