rank,keyword,channel,horizon,trend_score,predicted_delta,velocity_z,breakout,evidence,suggested_action
1,adcb internet banking update,seo,week,100.0,0.191,12502.28,True,2026-08-08: rising related query for 'adcb' in AE | 2026-08-09: rising related query for 'adcb' in AE,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
2,adcb issue today,seo,week,98.4,0.139,5304.908,True,2026-08-08: rising related query for 'adcb' in AE | 2026-08-09: suggestion for 'adcb issue' [AE/en] | 2026-08-10: suggestion for 'adcb issue' [AE/en],BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
3,adcb banking issues,seo,week,97.7,0.116,4207.127,True,2026-08-08: rising related query for 'adcb' in AE | 2026-08-09: rising related query for 'adcb' in AE,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
4,evaluate adcb on fees and charges,seo,week,97.5,0.111,14893.887,True,2026-08-08: AI prompt (Google AI Mode) · topic: Fees and charges | 2026-08-08: AI prompt (ChatGPT) · topic: Fees and charges | 2026-08-08: AI prompt (Google Gemini) · topic: Fees and charges,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
5,evaluate adcb on current and savings,seo,week,97.5,0.11,10976.284,True,2026-08-08: AI prompt (Google AI Overviews) · topic: current and savings | 2026-08-08: AI prompt (Google Gemini) · topic: current and savings | 2026-08-08: AI prompt (ChatGPT) · topic: current and savings,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
6,التمويل العقاري الإمارات,seo,week,97.4,0.107,7446.943,True,,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
7,evaluate adcb on eligibility and documentation,seo,week,97.3,0.106,8936.332,True,2026-08-08: AI prompt (Google AI Mode) · topic: Eligibility and documentation | 2026-08-08: AI prompt (ChatGPT) · topic: Eligibility and documentation | 2026-08-08: AI prompt (Perplexity) · topic: Eligibility and documentation,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
8,how does islamic home finance work,seo,week,97.2,0.102,1844.005,True,,BREAKOUT detected — act now while competition is low. Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
9,evaluate adcb on accounts,seo,week,97.1,0.098,10798.068,True,2026-08-08: AI prompt (Google Gemini) · topic: Accounts | 2026-08-08: AI prompt (ChatGPT) · topic: Accounts | 2026-08-08: AI prompt (Google AI Overviews) · topic: Accounts,BREAKOUT detected — act now while competition is low. Create/refresh a dedicated page targeting this query; interlink from related pages.
10,adcb,seo,week,66.4,0.492,-0.318,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
11,bnpl uae,seo,week,62.8,-0.02,0.974,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
12,what is an iban number,seo,week,61.7,0.449,-0.174,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
13,credit card uae,seo,week,61.6,0.114,0.488,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
14,islamic banking uae,seo,week,57.9,0.121,0.097,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
15,how to open a bank account in uae,seo,week,57.2,-0.027,0.347,False,,Add a concise 40–60 word direct answer; mark up with FAQPage/HowTo schema; target voice/featured snippets. Create/refresh a dedicated page targeting this query; interlink from related pages.
16,adcb bank near me,seo,week,56.3,-0.026,0.357,False,2026-08-08: rising related query for 'adcb' in OM | 2026-08-08: suggestion for 'adcb bank' [AE/en] | 2026-08-09: suggestion for 'adcb bank' [AE/en],Create/refresh a dedicated page targeting this query; interlink from related pages.
17,evaluate adcb on digital banking and app,seo,week,54.9,-0.131,0.69,False,2026-08-08: AI prompt (Google Gemini) · topic: Digital banking and app | 2026-08-08: AI prompt (Google AI Mode) · topic: Digital banking and app | 2026-08-09: AI prompt (Google Gemini) · topic: Digital banking and app,Create/refresh a dedicated page targeting this query; interlink from related pages.
18,wealth management uae,seo,week,52.8,-0.381,0.841,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
19,fixed deposit uae,seo,week,52.1,-0.319,0.392,False,,Create/refresh a dedicated page targeting this query; interlink from related pages.
20,digital banks uae,seo,week,51.2,0.091,-0.061,False,,"Publish a definitive, stat-backed explainer with clear entity references, citations-friendly formatting, and up-to-date facts so AI engines cite you. Create/refresh a dedicated page targeting this query; interlink from related pages."
